country,globalSouth
China,TRUE
India,TRUE
Indonesia,TRUE
Pakistan,TRUE
Nigeria,TRUE
Brazil,TRUE
Bangladesh,TRUE
Ethiopia,TRUE
Philippines,TRUE
Egypt,TRUE
DR Congo,TRUE
Vietnam,TRUE
Iran,TRUE
Thailand,TRUE
Tanzania,TRUE
South Africa,TRUE
Myanmar,TRUE
Kenya,TRUE
Colombia,TRUE
Uganda,TRUE
Sudan,TRUE
Argentina,TRUE
Algeria,TRUE
Iraq,TRUE
Afghanistan,TRUE
Morocco,TRUE
Saudi Arabia,TRUE
Angola,TRUE
Peru,TRUE
Malaysia,TRUE
Yemen,TRUE
Ghana,TRUE
Mozambique,TRUE
Nepal,TRUE
Madagascar,TRUE
Venezuela,TRUE
Ivory Coast,TRUE
Cameroon,TRUE
Niger,TRUE
North Korea,TRUE
Burkina Faso,TRUE
Mali,TRUE
Syria,TRUE
Sri-Lanka,TRUE
Malawi,TRUE
Zambia,TRUE
Chile,TRUE
Ecuador,TRUE
Guatemala,TRUE
Chad,TRUE
Somalia,TRUE
Senegal,TRUE
Cambodia,TRUE
Zimbabwe,TRUE
Guinea,TRUE
Rwanda,TRUE
Benin,TRUE
Burundi,TRUE
Tunisia,TRUE
Bolivia,TRUE
Haiti,TRUE
Jordan,TRUE
Dominican Republic,TRUE
Cuba,TRUE
South Sudan,TRUE
Honduras,TRUE
Papua New Guinea,TRUE
Tajikistan,TRUE
UAE,TRUE
Togo,TRUE
Sierra Leone,TRUE
Laos,TRUE
Nicaragua,TRUE
Libya,TRUE
Paraguay,TRUE
Turkmenistan,TRUE
El Salvador,TRUE
Singapore,TRUE
Congo Dem. Rep.,TRUE
Central African Republic,TRUE
Lebanon,TRUE
Liberia,TRUE
Palestinian territories,TRUE
Costa Rica,TRUE
Mauritania,TRUE
Oman,TRUE
Panama,TRUE
Kuwait,TRUE
Eritrea,TRUE
Uruguay,TRUE
Mongolia,TRUE
Bosnia and Herzegovina,TRUE
Jamaica,TRUE
Gambia,TRUE
Qatar,TRUE
Botswana,TRUE
Namibia,TRUE
Gabon,TRUE
Lesotho,TRUE
Guinea-Bissau,TRUE
Equatorial Guinea,TRUE
Trinidad and Tobago,TRUE
Bahrain_AlManamah,TRUE
Timor-Leste,TRUE
Mauritius,TRUE
Eswatini,TRUE
Djibouti,TRUE
Fiji,TRUE
Comoros,TRUE
Guyana,TRUE
Bhutan,TRUE
Solomon Islands,TRUE
Suriname,TRUE
Cape Verde,TRUE
Maldives,TRUE
Brunei,TRUE
Bahamas,TRUE
Belize,TRUE
Vanuatu,TRUE
Barbados,TRUE
Sao Tome and Principe,TRUE
Samoa,TRUE
Saint Lucia,TRUE
Kiribati,TRUE
Grenada,TRUE
Micronesia,TRUE
Seychelles,TRUE
Tonga,TRUE
Saint Vincent and the Grenadines,TRUE
Antigua and Barbuda,TRUE
Dominica,TRUE
Saint Kitts and Nevis,TRUE
Marshall Islands,TRUE
Nauru,TRUE
United States,FALSE
Russia,FALSE
Mexico,FALSE
Japan,FALSE
Turkey,FALSE
Germany,FALSE
United Kingdom,FALSE
France,FALSE
Italy,FALSE
South Korea,FALSE
Spain,FALSE
Poland,FALSE
Ukraine,FALSE
Canada,FALSE
Uzbekistan,FALSE
Australia,FALSE
Romania,FALSE
Kazakhstan,FALSE
Netherlands,FALSE
Belgium,FALSE
Sweden,FALSE
Czech Republic,FALSE
Greece,FALSE
Azerbaijan,FALSE
Portugal,FALSE
Hungary,FALSE
Belarus,FALSE
Israel,FALSE
Austria,FALSE
Switzerland,FALSE
Serbia,FALSE
Bulgaria,FALSE
Kyrgyzstan,FALSE
Denmark,FALSE
Slovakia,FALSE
Finland,FALSE
Norway,FALSE
New Zealand,FALSE
Ireland,FALSE
Croatia,FALSE
Georgia,FALSE
Moldova,FALSE
Albania,FALSE
Armenia,FALSE
Lithuania,FALSE
Slovenia,FALSE
North Macedonia,FALSE
Latvia,FALSE
Estonia,FALSE
Cyprus,FALSE
Luxembourg,FALSE
Montenegro,FALSE
Malta,FALSE
Iceland,FALSE
Andorra,FALSE
Liechtenstein,FALSE
Monaco,FALSE
San Marino,FALSE
Palau,FALSE
Tuvalu,FALSE
Vatican City,FALSE
